Time,Channel B
(s),(mV)

0.00000000,206.12200000
0.00020000,207.28170000
0.00040000,205.54210000
0.00060000,206.41190000
0.00080000,206.99180000
0.00100000,205.83210000
0.00120000,206.12200000
0.00140000,203.80260000
0.00160000,206.41190000
0.00180000,205.25220000
0.00200000,207.28170000
0.00220000,206.99180000
0.00240000,204.09250000
0.00260000,205.83210000
0.00280000,206.99180000
0.00300000,205.83210000
0.00320000,205.83210000
0.00340000,205.83210000
0.00360000,207.28170000
0.00380000,206.70180000
0.00400000,204.67240000
0.00420000,205.54210000
0.00440000,208.44140000
0.00460000,206.70180000
0.00480000,206.70180000
0.00500000,207.57160000
0.00520000,205.83210000
0.00540000,207.28170000
0.00560000,207.86160000
0.00580000,205.83210000
0.00600000,207.28170000
0.00620000,205.54210000
0.00640000,208.15150000
0.00660000,205.54210000
0.00680000,206.99180000
0.00700000,205.25220000
0.00720000,206.41190000
0.00740000,205.83210000
0.00760000,207.86160000
0.00780000,207.28170000
0.00800000,206.41190000
0.00820000,206.12200000
0.00840000,206.70180000
0.00860000,208.73130000
0.00880000,205.25220000
0.00900000,206.41190000
0.00920000,206.41190000
0.00940000,206.99180000
0.00960000,207.57160000
0.00980000,207.28170000
0.01000000,204.96230000
0.01020000,206.70180000
0.01040000,206.99180000
0.01060000,204.38240000
0.01080000,207.28170000
0.01100000,205.54210000
0.01120000,204.67240000
0.01140000,205.83210000
0.01160000,206.70180000
0.01180000,205.83210000
0.01200000,206.41190000
0.01220000,206.99180000
0.01240000,206.12200000
0.01260000,204.96230000
0.01280000,205.25220000
0.01300000,207.28170000
0.01320000,206.70180000
0.01340000,206.41190000
0.01360000,205.83210000
0.01380000,205.83210000
0.01400000,204.67240000
0.01420000,205.54210000
0.01440000,206.70180000
0.01460000,205.25220000
0.01480000,204.67240000
0.01500000,206.99180000
0.01520000,207.28170000
0.01540000,206.12200000
0.01560000,205.83210000
0.01580000,206.12200000
0.01600000,204.96230000
0.01620000,205.25220000
0.01640000,206.70180000
0.01660000,206.70180000
0.01680000,206.41190000
0.01700000,206.99180000
0.01720000,208.73130000
0.01740000,206.12200000
0.01760000,205.25220000
0.01780000,204.96230000
0.01800000,204.67240000
0.01820000,208.15150000
0.01840000,204.67240000
0.01860000,206.12200000
0.01880000,207.86160000
0.01900000,205.83210000
0.01920000,207.28170000
0.01940000,208.15150000
0.01960000,205.83210000
0.01980000,206.41190000
0.02000000,206.41190000
0.02020000,205.25220000
0.02040000,206.99180000
0.02060000,206.41190000
0.02080000,207.57160000
0.02100000,207.28170000
0.02120000,206.70180000
0.02140000,207.86160000
0.02160000,205.83210000
0.02180000,206.12200000
0.02200000,207.57160000
0.02220000,207.86160000
0.02240000,206.70180000
0.02260000,206.99180000
0.02280000,206.70180000
0.02300000,206.70180000
0.02320000,204.67240000
0.02340000,206.99180000
0.02360000,207.28170000
0.02380000,206.70180000
0.02400000,206.12200000
0.02420000,207.28170000
0.02440000,206.99180000
0.02460000,206.12200000
0.02480000,206.41190000
0.02500000,209.31120000
0.02520000,206.41190000
0.02540000,208.15150000
0.02560000,207.86160000
0.02580000,207.28170000
0.02600000,205.25220000
0.02620000,208.44140000
0.02640000,207.86160000
0.02660000,204.67240000
0.02680000,207.28170000
0.02700000,206.12200000
0.02720000,206.99180000
0.02740000,206.70180000
0.02760000,205.83210000
0.02780000,206.41190000
0.02800000,205.83210000
0.02820000,208.15150000
0.02840000,206.99180000
0.02860000,206.41190000
0.02880000,207.57160000
0.02900000,205.54210000
0.02920000,208.73130000
0.02940000,206.99180000
0.02960000,207.28170000
0.02980000,208.15150000
0.03000000,207.86160000
0.03020000,205.25220000
0.03040000,206.70180000
0.03060000,205.54210000
0.03080000,206.99180000
0.03100000,205.83210000
0.03120000,208.44140000
0.03140000,207.86160000
0.03160000,206.99180000
0.03180000,206.41190000
0.03200000,208.44140000
0.03220000,204.96230000
0.03240000,207.86160000
0.03260000,208.15150000
0.03280000,207.28170000
0.03300000,207.28170000
0.03320000,206.99180000
0.03340000,204.67240000
0.03360000,204.96230000
0.03380000,208.44140000
0.03400000,206.70180000
0.03420000,206.70180000
0.03440000,206.12200000
0.03460000,204.67240000
0.03480000,208.44140000
